id,kode_pohon,nama_lokal,nama_latin,Group,Icon,status_iucn,diameter,tinggi,unit_PS,jenis_lahan,nama_khas_wilayah,Latitude,Longitude,elevasi,jarak_permukiman,status_adopsi,nama_pengadopsi,masa_berlaku,nama_surveyor,waktu_survei,harga_adopsi,serapan_karbon,penyedia_bibit,metode_karbon,Image1,Image2,Image3,Image4,Image5,chart_link
93,SRK0096GS,Medang,Alseodaphne sp,Pohon Muda,icon/young_tree.svg,Vulnerable,19,18,13,Mineral,-,-0.0377753,101.404987200000,"61,88020914","0,036",,,,Mardianto,30/09/2021 14:54,50000,"491,61",-,Approach 5,media/SRK_1_93.jpg,media/SRK_2_93.jpg,media/SRK_3_93.jpg,media/SRK_4_93.jpg,adopsipohonriau/93,
94,SRK0097GS,Medang,Alseodaphne sp,Pohon Muda,icon/young_tree.svg,Vulnerable,38,18,13,Mineral,-,-0.0378861,101.405009000000,"53,85684324","0,036",,,,Mardianto,30/09/2021 14:59,50000,"1902,09",-,Approach 5,media/SRK_1_94.jpg,media/SRK_2_94.jpg,media/SRK_3_94.jpg,media/SRK_4_94.jpg,adopsipohonriau/94,
95,SRK0098GS,Arang Arang,Diospyros spp,Pohon Muda,icon/young_tree.svg,Vulnerable,23,20,13,Mineral,-,-0.0378899,101.404939800000,"61,84021907","0,036",,,,Mardianto,30/09/2021 15:03,50000,"959,46",-,Approach 5,media/SRK_1_95.jpg,media/SRK_2_95.jpg,media/SRK_3_95.jpg,media/SRK_4_95.jpg,adopsipohonriau/95,
96,SRK0099GS,Meranti,Shorea sp,Pohon Dewasa,icon/mature_tree.svg,-,42,25,13,Mineral,-,-0.0379605,101.404953700000,"77,26689217","0,036",,,,Mardianto,30/09/2021 15:07,200000,"3233,5",-,Approach 5,media/SRK_1_96.jpg,media/SRK_2_96.jpg,media/SRK_3_96.jpg,media/SRK_4_96.jpg,adopsipohonriau/96,
97,SRK0100GS,Kapinus,Sloetia elongata,Pohon Muda,icon/young_tree.svg,-,21,15,13,Mineral,-,-0.0379302,101.404955200000,"70,33105154","0,036",,,,Mardianto,30/09/2021 15:11,50000,"740,42",-,Approach 5,media/SRK_1_97.jpg,media/SRK_2_97.jpg,media/SRK_3_97.jpg,media/SRK_4_97.jpg,adopsipohonriau/97,
98,SRK0101GS,Rengas,Gluta aptera,Pohon Dewasa,icon/mature_tree.svg,-,90,20,13,Mineral,-,-0.0383172,101.404322800000,"50,4245799","0,035",,,,Fahrizal,10/01/2021 8:00,200000,"12353,62",-,Approach 5,media/SRK_1_98.jpg,media/SRK_2_98.jpg,media/SRK_3_98.jpg,media/SRK_4_98.jpg,adopsipohonriau/98,
99,SRK0102GS,Bentangor,Calophyllum spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,41,16,13,Mineral,-,-0.0382931,101.404285900000,"54,06131175","0,035",,,,Fahrizal,10/01/2021 8:25,200000,"1917,57",-,Approach 5,media/SRK_1_99.jpg,media/SRK_2_99.jpg,media/SRK_3_99.jpg,media/SRK_4_99.jpg,adopsipohonriau/99,
100,SRK0103GS,Sendok-Sendok,Endospermum spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,"40,1",12,13,Mineral,-,-0.0383394,101.404393500000,"61,64831432","0,035",,,,Fahrizal,10/01/2021 8:35,200000,"889,63",-,Approach 5,media/SRK_1_100.jpg,media/SRK_2_100.jpg,media/SRK_3_100.jpg,media/SRK_4_100.jpg,adopsipohonriau/100,
101,SRK0104GS,Sendok-Sendok,Endospermum spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,40,14,13,Mineral,-,-0.0383371,101.404392000000,"61,63614785","0,035",,,,Fahrizal,10/01/2021 8:49,200000,"1029,04",-,Approach 5,media/SRK_1_101.jpg,media/SRK_2_101.jpg,media/SRK_3_101.jpg,media/SRK_4_101.jpg,adopsipohonriau/101,
102,SRK0105GS,Sendok-Sendok,Endospermum spp,Pohon Muda,icon/young_tree.svg,Least Concern,20,10,13,Mineral,-,-0.0383467,101.404440000000,"60,97196206","0,035",,,,Adep,10/01/2021 9:01,50000,"191,51",-,Approach 5,media/SRK_1_102.jpg,media/SRK_2_102.jpg,media/SRK_3_102.jpg,media/SRK_4_102.jpg,adopsipohonriau/102,
103,SRK0106GS,Meranti Putih,Shorea javanica,Pohon Muda,icon/young_tree.svg,Endangered,24,9,13,Mineral,-,-0.0385599,101.404423000000,"66,37985372","0,035",,,,Adep,10/01/2021 9:06,50000,"377,44",-,Approach 5,media/SRK_1_103.jpg,media/SRK_2_103.jpg,media/SRK_3_103.jpg,media/SRK_4_103.jpg,adopsipohonriau/103,
