kode_pohon,nama_lokal,nama_latin,Group,Icon,status_iucn,diameter,tinggi,unit_PS,jenis_lahan,nama_khas_wilayah,Latitude,Longitude,elevasi,jarak_permukiman,status_adopsi,nama_pengadopsi,masa_berlaku,nama_surveyor,waktu_survei,harga_adopsi,serapan_karbon,penyedia_bibit,metode_karbon,Image1,Image2,Image3,Image4,chart_link
SRK0118GS,Sendok-Sendok,Endospermum spp,PohonDewasa,icon/mature_tree.svg,Least Concern,41,20,13,Mineral,-,-0.0385325,101.4048987,72.078176435538,0.03555770671,,,,Adep Lphd,01/10/2021 11:05:00,200000,1529.507071,-,Approach 5,media/SRK_1_115.jpg,media/SRK_2_115.jpg,media/SRK_3_115.jpg,media/SRK_4_115.jpg,adopsipohonriau/115
SRK0119GS,Pulai,Alstonia spp,PohonMuda,icon/young_tree.svg,Least Concern,34,18,13,Mineral,-,-0.0385402,101.4047248,71.171830593965,0.0353872395,,,,Adep Lphd,01/10/2021 11:13:00,50000,1147.345193,-,Approach 5,media/SRK_1_116.jpg,media/SRK_2_116.jpg,media/SRK_3_116.jpg,media/SRK_4_116.jpg,adopsipohonriau/116
SRK0120GS,Mahang,Macaranga spp,PohonMuda,icon/young_tree.svg,Endangered,23,17,13,Mineral,-,-0.0384836,101.4047793,69.130084681978,0.03545401319,,,,Adep Lphd,01/10/2021 11:24:00,50000,442.8348574,-,Approach 5,media/SRK_1_117.jpg,media/SRK_2_117.jpg,media/SRK_3_117.jpg,media/SRK_4_117.jpg,adopsipohonriau/117
SRK0121GS,Mahang,Macaranga spp,PohonMuda,icon/young_tree.svg,Endangered,25,17,13,Mineral,-,-0.038412,101.4047912,54.910963532329,0.03548330203,,,,Adep Lphd,01/10/2021 11:30:00,50000,521.1082631,-,Approach 5,media/SRK_1_118.jpg,media/SRK_2_118.jpg,media/SRK_3_118.jpg,media/SRK_4_118.jpg,adopsipohonriau/118
SRK0122GS,Mahang,Macaranga spp,PohonMuda,icon/young_tree.svg,Endangered,30,19,13,Mineral,-,-0.0384917,101.4046742,44.488749511162,0.03535017638,,,,Adep Lphd,01/10/2021 11:36:00,50000,829.1538455,-,Approach 5,media/SRK_1_119.jpg,media/SRK_2_119.jpg,media/SRK_3_119.jpg,media/SRK_4_119.jpg,adopsipohonriau/119
SRK0123GS,Mahang,Macaranga spp,PohonMuda,icon/young_tree.svg,Endangered,27,20,13,Mineral,-,-0.0382798,101.4047022,71.176027525004,0.03543033548,,,,Adep Lphd,01/10/2021 11:43:00,50000,709.6729615,-,Approach 5,media/SRK_1_120.jpg,media/SRK_2_120.jpg,media/SRK_3_120.jpg,media/SRK_4_120.jpg,adopsipohonriau/120
SRK0124GS,Meranti,Shorea sp,PohonDewasa,icon/mature_tree.svg,-,43,23,13,Mineral,-,-0.0385218,101.4049062,63.237950533681,0.03556760112,,,,Adep Lphd,01/10/2021 11:47:00,200000,3120.88749,-,Approach 5,media/SRK_1_121.jpg,media/SRK_2_121.jpg,media/SRK_3_121.jpg,media/SRK_4_121.jpg,adopsipohonriau/121
SRK0125GS,Mendarahan,Myristica iners,PohonMuda,icon/young_tree.svg,Least Concern,21,18,13,Mineral,-,-0.0382956,101.4049479,29.416459548617,0.03566412343,,,,Adep Lphd,01/10/2021 11:52:00,50000,494.0469396,-,Approach 5,media/SRK_1_122.jpg,media/SRK_2_122.jpg,media/SRK_3_122.jpg,media/SRK_4_122.jpg,adopsipohonriau/122
SRK0126GS,Mempening,Quercus argentata,PohonMuda,icon/young_tree.svg,Least Concern,20,15,13,Mineral,-,-0.0383261,101.4049864,68.439317495297,0.03569375842,,,,Adep Lphd,01/09/2021 13:35:00,50000,602.4188348,-,Approach 5,media/SRK_1_123.jpg,media/SRK_2_123.jpg,media/SRK_3_123.jpg,media/SRK_4_123.jpg,adopsipohonriau/123
SRK0127GS,Meranti,Shorea sp,PohonMuda,icon/young_tree.svg,-,11,14,13,Mineral,-,-0.0383518,101.4049665,50.97841414578,0.03566807293,,,,Adep Lphd,01/10/2021 13:45:00,50000,134.3138516,-,Approach 5,media/SRK_1_124.jpg,media/SRK_2_124.jpg,media/SRK_3_124.jpg,media/SRK_4_124.jpg,adopsipohonriau/124
