id,kode_pohon,nama_lokal,nama_latin,Group,Icon,status_iucn,diameter,tinggi,unit_PS,jenis_lahan,nama_khas_wilayah,Latitude,Longitude,elevasi,jarak_permukiman,status_adopsi,nama_pengadopsi,masa_berlaku,nama_surveyor,waktu_survei,harga_adopsi,serapan_karbon,penyedia_bibit,metode_karbon,Image1,Image2,Image3,Image4
27,SRK0027GS,Ridan,Nephelium mangayi,Pohon Muda,icon/young_tree.svg,-,18,10,13,Mineral,-,-0.0384106,101.404771700000,"42,49884083","0,035",-,-,-,Fahrizal,9/29/2021 10:52,50000,176.90,-,"Brown, 1997",media/SRK_3_27.jpg,media/SRK_2_27.jpg,media/SRK_1_27.jpg,media/SRK_4_27.jpg
28,SRK0028GS,Meranti,Shorea sp,Pohon Muda,icon/young_tree.svg,-,20,10,13,Mineral,-,-0.0384542,101.404717800000,"46,20350728","0,035",-,-,-,Fahrizal,9/29/2021 10:56,50000,310.68,-,"Chave et al, 2014",media/SRK_3_28.jpg,media/SRK_2_28.jpg,media/SRK_1_28.jpg,media/SRK_4_28.jpg
29,SRK0028GS,Medang,Alseodaphne sp,Pohon Muda,icon/young_tree.svg,Vulnerable,20,10,13,Mineral,-,-0.0384117,101.404626400000,"46,5116748","0,035",-,-,-,Fahrizal,9/29/2021 11:00,50000,306.17,-,"Chave et al, 2014",media/SRK_3_29.jpg,media/SRK_2_29.jpg,media/SRK_1_29.jpg,media/SRK_4_29.jpg
30,SRK0030GS,Malapari,Pongamia Pinnata,Pohon Muda,icon/young_tree.svg,Least Concern,23,15,13,Mineral,-,-0.0384519,101.404875100000,"47,05813605","0,036",-,-,-,Fahrizal,9/29/2021 11:06,50000,595.11,-,"Chave et al, 2014",media/SRK_3_30.jpg,media/SRK_2_30.jpg,media/SRK_1_30.jpg,media/SRK_4_30.jpg
31,SRK0030GS,Mendarahan,Myristica iners,Pohon Muda,icon/young_tree.svg,Least Concern,14,6,13,Mineral,-,-0.0383715,101.404835900000,"71,17636428","0,036",-,-,-,Fahrizal,9/29/2021 11:26,50000,76.62,-,"Chave et al, 2014",media/SRK_3_31.jpg,media/SRK_2_31.jpg,media/SRK_1_31.jpg,media/SRK_4_31.jpg
32,SRK0032GS,Kedondong,Spondias dulcis,Pohon Muda,icon/young_tree.svg,-,22,15,13,Mineral,-,-0.0382599,101.405171900000,"73,19168522","0,036",-,-,-,Fahrizal,9/29/2021 11:31,50000,292.68,-,"Chave et al, 2014",media/SRK_3_32.jpg,media/SRK_2_32.jpg,media/SRK_1_32.jpg,media/SRK_4_32.jpg
33,SRK0033GS,Mendarahan,Myristica iners,Pohon Muda,icon/young_tree.svg,Least Concern,33,15,13,Mineral,-,-0.0382117,101.405176700000,"72,95613651","0,036",-,-,-,Fahrizal,9/29/2021 11:34,50000,999.20,-,"Chave et al, 2014",media/SRK_3_33.jpg,media/SRK_2_33.jpg,media/SRK_1_33.jpg,media/SRK_4_33.jpg
34,SRK0034GS,Mahang,Macaranga spp,Pohon Muda,icon/young_tree.svg,Endangered,19,15,13,Mineral,-,-0.0382222,101.404833333333,"71,33866482","0,036",-,-,-,Fahrizal,9/29/2021 11:41,50000,269.91,-,"Chave et al, 2014",media/SRK_3_34.jpg,media/SRK_2_34.jpg,media/SRK_1_34.jpg,media/SRK_4_34.jpg
35,SRK0035GS,Medang,Alseodaphne sp,Pohon Muda,icon/young_tree.svg,Vulnerable,25,16,13,Mineral,-,-0.0385,101.4048889,"71,33866482","0,036",-,-,-,Fahrizal,9/29/2021 11:44,50000,748.77,-,"Chave et al, 2014",media/SRK_3_35.jpg,media/SRK_2_35.jpg,media/SRK_1_35.jpg,media/SRK_4_35.jpg
36,SRK0036GS,Jangkang,Sterculia foetida,Pohon Muda,icon/young_tree.svg,-,18,14,13,Mineral,-,-0.0383405,101.404785100000,"52,86896324","0,035",-,-,-,Fahrizal,9/29/2021 11:48,50000,307.98,-,"Chave et al, 2014",media/SRK_3_36.jpg,media/SRK_2_36.jpg,media/SRK_1_36.jpg,media/SRK_4_36.jpg
37,SRK0037GS,Meranti,Shorea sp,Pohon Dewasa,icon/mature_tree.svg,-,44,25,13,Mineral,-,-0.0383865,101.404824800000,"54,15058171","0,036",-,-,-,Fahrizal,9/29/2021 11:52,200000,3540.87,-,"Chave et al, 2014",media/SRK_3_37.jpg,media/SRK_2_37.jpg,media/SRK_1_37.jpg,media/SRK_4_37.jpg
38,SRK0039GS,Kedondong,Spondias dulcis,Pohon Muda,icon/young_tree.svg,-,14,20,13,Mineral,-,-0.0383086,101.404787600000,"56,80113799","0,036",-,-,-,Fahrizal,9/29/2021 11:55,50000,160.39,-,"Chave et al, 2014",media/SRK_3_38.jpg,media/SRK_2_38.jpg,media/SRK_1_38.jpg,media/SRK_4_38.jpg
39,SRK0040GS,Pasir Pasir,Guettarda speciosa,Pohon Muda,icon/young_tree.svg,Least Concern,27,21,13,Mineral,-,-0.0381788,101.404736200000,"51,72570938","0,035",-,-,-,Fahrizal,9/29/2021 11:58,50000,1254.95,-,"Chave et al, 2014",media/SRK_3_39.jpg,media/SRK_2_39.jpg,media/SRK_1_39.jpg,media/SRK_4_39.jpg
40,SRK0041GS,Meranti,Shorea sp,Pohon Muda,icon/young_tree.svg,-,32,25,13,Mineral,-,-0.0382327,101.404911400000,"54,41996616","0,036",-,-,-,Fahrizal,9/29/2021 12:02,50000,1901.71,-,"Chave et al, 2014",media/SRK_3_40.jpg,media/SRK_2_40.jpg,media/SRK_1_40.jpg,media/SRK_4_40.jpg
41,SRK0042GS,Keranji,Dialium kunstleri,Pohon Muda,icon/young_tree.svg,Near Threatened,37,25,13,Mineral,-,-0.0381771,101.404827500000,"50,83872522","0,036",-,-,-,Fahrizal,9/29/2021 12:04,50000,3344.09,-,"Chave et al, 2014",media/SRK_3_41.jpg,media/SRK_2_41.jpg,media/SRK_1_41.jpg,media/SRK_4_41.jpg
42,SRK0043GS,Sendok Sendok,Endospermum spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,47,25,13,Mineral,-,-0.0386389,101.404861111111,"50,8263636","0,035",-,-,-,Fahrizal,9/29/2021 12:07,200000,2482.66,-,"Chave et al, 2014",media/SRK_3_42.jpg,media/SRK_2_42.jpg,media/SRK_1_42.jpg,media/SRK_4_42.jpg
43,SRK0044GS,Arang Arang,Diospyros spp,Pohon Muda,icon/young_tree.svg,Vulnerable,13,10,13,Mineral,-,-0.0380833,101.404888888888,"50,8263636","0,036",-,-,-,Fahrizal,9/29/2021 12:10,50000,160.16,-,"Chave et al, 2014",media/SRK_3_43.jpg,media/SRK_2_43.jpg,media/SRK_1_43.jpg,media/SRK_4_43.jpg
44,SRK0045GS,Mempening,Quercus argentata,Pohon Dewasa,icon/mature_tree.svg,Least Concern,50,15,13,Mineral,-,-0.0381389,101.404888888888,"50,8263636","0,036",-,-,-,Fahrizal,9/29/2021 12:13,200000,3603.11,-,"Chave et al, 2014",media/SRK_3_44.jpg,media/SRK_2_44.jpg,media/SRK_1_44.jpg,media/SRK_4_44.jpg
45,SRK0046GS,Kedondong,Spondias dulcis,Pohon Muda,icon/young_tree.svg,-,8,12,13,Mineral,-,-0.038119,101.4048347,"2,962499238","0,036",-,-,-,Fahrizal,9/29/2021 12:15,50000,32.68,-,"Chave et al, 2014",media/SRK_3_45.jpg,media/SRK_2_45.jpg,media/SRK_1_45.jpg,media/SRK_4_45.jpg
